RollNo,Name,Department,Section,Year
CSE_A01,Student1,CSE,A,4
CSE_A02,Student2,CSE,A,1
CSE_A03,Student3,CSE,A,4
CSE_A04,Student4,CSE,A,3
CSE_A05,Student5,CSE,A,4
CSE_A06,Student6,CSE,A,4
CSE_A07,Student7,CSE,A,2
CSE_A08,Student8,CSE,A,1
CSE_A09,Student9,CSE,A,4
CSE_A10,Student10,CSE,A,2
CSE_A11,Student11,CSE,A,2
CSE_A12,Student12,CSE,A,4
CSE_A13,Student13,CSE,A,4
CSE_A14,Student14,CSE,A,2
CSE_A15,Student15,CSE,A,1
CSE_A16,Student16,CSE,A,4
CSE_A17,Student17,CSE,A,2
CSE_B01,Student21,CSE,B,1
CSE_B02,Student22,CSE,B,3
CSE_B03,Student23,CSE,B,4
CSE_B04,Student24,CSE,B,4
CSE_B05,Student25,CSE,B,4
CSE_B06,Student26,CSE,B,2
CSE_B07,Student27,CSE,B,2
CSE_B08,Student28,CSE,B,1
CSE_B09,Student29,CSE,B,1
CSE_B10,Student30,CSE,B,4
CSE_B11,Student31,CSE,B,4
CSE_B12,Student32,CSE,B,3
CSE_B13,Student33,CSE,B,1
CSE_B14,Student34,CSE,B,3
CSE_B15,Student35,CSE,B,4
CSE_B16,Student36,CSE,B,2
CSE_B19,Student39,CSE,B,4
CSE_B20,Student40,CSE,B,2
ECE_A01,Student41,ECE,A,1
ECE_A02,Student42,ECE,A,4
ECE_A03,Student43,ECE,A,3
ECE_A04,Student44,ECE,A,4
ECE_A05,Student45,ECE,A,4
ECE_A06,Student46,ECE,A,1
ECE_A07,Student47,ECE,A,4
ECE_A08,Student48,ECE,A,4
ECE_A09,Student49,ECE,A,3
ECE_A11,Student51,ECE,A,4
ECE_A12,Student52,ECE,A,1
ECE_A13,Student53,ECE,A,3
ECE_A14,Student54,ECE,A,1
ECE_A15,Student55,ECE,A,3
ECE_A16,Student56,ECE,A,4
ECE_A17,Student57,ECE,A,4
ECE_A19,Student59,ECE,A,4
ECE_A20,Student60,ECE,A,4
ECE_B01,Student61,ECE,B,2
ECE_B02,Student62,ECE,B,3
ECE_B03,Student63,ECE,B,4
ECE_B04,Student64,ECE,B,1
ECE_B05,Student65,ECE,B,4
ECE_B06,Student66,ECE,B,2
ECE_B07,Student67,ECE,B,2
ECE_B08,Student68,ECE,B,1
ECE_B09,Student69,ECE,B,4
ECE_B10,Student70,ECE,B,1
ECE_B11,Student71,ECE,B,1
ECE_B12,Student72,ECE,B,2
ECE_B13,Student73,ECE,B,2
ECE_B14,Student74,ECE,B,3
ECE_B15,Student75,ECE,B,4
ECE_B16,Student76,ECE,B,1
ECE_B17,Student77,ECE,B,1
ECE_B18,Student78,ECE,B,1
ECE_B19,Student79,ECE,B,3
ECE_B20,Student80,ECE,B,2
MECH_A01,Student81,MECH,A,2
MECH_A02,Student82,MECH,A,2
MECH_A03,Student83,MECH,A,4
MECH_A04,Student84,MECH,A,2
MECH_A05,Student85,MECH,A,1
MECH_A08,Student88,MECH,A,2
MECH_A09,Student89,MECH,A,4
MECH_A10,Student90,MECH,A,1
MECH_A11,Student91,MECH,A,4
MECH_A12,Student92,MECH,A,3
MECH_A13,Student93,MECH,A,4
MECH_A14,Student94,MECH,A,2
MECH_A15,Student95,MECH,A,1
MECH_A16,Student96,MECH,A,3
MECH_A17,Student97,MECH,A,1
MECH_A19,Student99,MECH,A,1
MECH_A20,Student100,MECH,A,3
MECH_B01,Student101,MECH,B,1
MECH_B02,Student102,MECH,B,2
MECH_B03,Student103,MECH,B,4
MECH_B04,Student104,MECH,B,1
MECH_B05,Student105,MECH,B,4
MECH_B06,Student106,MECH,B,4
MECH_B07,Student107,MECH,B,2
MECH_B08,Student108,MECH,B,4
MECH_B09,Student109,MECH,B,1
MECH_B11,Student111,MECH,B,4
MECH_B12,Student112,MECH,B,1
MECH_B13,Student113,MECH,B,4
MECH_B14,Student114,MECH,B,4
MECH_B15,Student115,MECH,B,2
MECH_B17,Student117,MECH,B,4
MECH_B18,Student118,MECH,B,1
MECH_B19,Student119,MECH,B,3
MECH_B20,Student120,MECH,B,1
MECH_C01,Student121,MECH,C,2
MECH_C02,Student122,MECH,C,1
MECH_C03,Student124,MECH,C,3
STU-112,Student_112,ECE,B,2
STU-113,Student_113,MECH,B,1
STU-114,Student_114,MECH,C,4
STU-115,Student_115,ECE,B,3
STU-116,Student_116,ECE,C,4
STU-117,Student_117,ECE,C,4
STU-118,Student_118,CSE,A,2
STU-119,Student_119,CSE,C,1
U-120,Student_120,CSE,B,4
STU-121,Student_121,MECH,A,2
STU-122,Student_122,CSE,C,2
STU-123,Student_123,CSE,C,4
STU-124,Student_124,ECE,A,4
STU-125,Student_125,ECE,C,2
STU-126,Student_126,CSE,A,1
STU-127,Student_127,CSE,B,4
STU-128,Student_128,ECE,A,2
STU-129,Student_129,CSE,C,1
STU-130,Student_130,ECE,B,3
STU-131,Student_131,MECH,B,4
STU-132,Student_132,MECH,C,4
STU-133,Student_133,ECE,C,4
STU-134,Student_134,ECE,A,2
STU-135,Student_135,MECH,C,2
STU-136,Student_136,CSE,C,1
STU-137,Student_137,CSE,C,1
STU-138,Student_138,CSE,C,4
STU-139,Student_139,ECE,B,4
STU-140,Student_140,CSE,A,3
STU-141,Student_141,MECH,A,1
STU-142,Student_142,MECH,C,3
STU-143,Student_143,ECE,A,4
STU-144,Student_144,MECH,C,2
STU-145,Student_145,CSE,B,4
STU-146,Student_146,MECH,B,2
STU-147,Student_147,ECE,C,1
STU-148,Student_148,MECH,B,4
STU-149,Student_149,CSE,A,3
STU-150,Student_150,CSE,B,4
STU-151,Student_151,MECH,A,4
STU-152,Student_152,MECH,A,1
STU-153,Student_153,CSE,C,4
STU-154,Student_154,ECE,C,4
STU-155,Student_155,ECE,A,3
STU-156,Student_156,ECE,A,4
STU-157,Student_157,MECH,B,1
STU-158,Student_158,ECE,C,3
STU-159,Student_159,MECH,C,1
STU-160,Student_160,MECH,B,3
STU-161,Student_161,ECE,A,4
STU-162,Student_162,ECE,C,4
STU-163,Student_163,CSE,C,4
STU-164,Student_164,ECE,B,4
STU-165,Student_165,MECH,B,2
